"","...1","titulo","eleccion","circuito","candidato","N°","agrupacion","votos","vot valido","vot nulo","total votantes","electores en padron","codigo_circuito","codigo_circuito1"
"1",16,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","0","13","1","16","57","  53A","  53A"
"2",17,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","0","13","1","16","57","  53A","  53A"
"3",18,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","0","13","1","16","57","  53A","  53A"
"4",19,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","0","13","1","16","57","  53A","  53A"
"5",20,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","3","13","1","16","57","  53A","  53A"
"6",21,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","0","13","1","16","57","  53A","  53A"
"7",22,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","0","13","1","16","57","  53A","  53A"
"8",23,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","10","13","1","16","57","  53A","  53A"
"9",24,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","0","13","1","16","57","  53A","  53A"
"10",25,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","0","13","1","16","57","  53A","  53A"
"11",26,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","0","13","1","16","57","  53A","  53A"
"12",27,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 53A   - LOS LEONES","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","0","13","1","16","57","  53A","  53A"
"13",41,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5C    - EMPALME","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","146","12.371","442","13.522","17.984","   5C","   5C"
