,nro lista,Partido,votos,votos_totales_circuito,circuito,nombre_archivo,seccional,porcentaje_circuito
6,A500,CORDOBA CAMBIA,1490,6711,011K,seccional 11K,11,0.2220235434361496
7,P217,ENCUENTRO VECINAL CÓRDOBA,256,6711,011K,seccional 11K,11,0.038146326925942484
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),53,6711,011K,seccional 11K,11,0.00789748174638653
9,3,UNIÓN CÍVICA RADICAL,1007,6711,011K,seccional 11K,11,0.15005215318134407
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,174,6711,011K,seccional 11K,11,0.02592758158247653
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,14,6711,011K,seccional 11K,11,0.0020861272537624795
12,A601,HACEMOS POR CORDOBA,3306,6711,011K,seccional 11K,9,0.49262405006705406
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,23,6711,011K,seccional 11K,9,0.0034272090597526447
14,P191,VECINALISMO INDEPENDIENTE,53,6711,011K,seccional 11K,9,0.00789748174638653
15,P200,PARTIDO UNION CIUDADANA,24,6711,011K,seccional 11K,9,0.003576218149307108
16,A300,MST - NUEVA IZQUIERDA,67,6711,011K,seccional 11K,9,0.009983609000149008
17,P40,MOVIMIENTO LIBRES DEL SUR,217,6711,011K,seccional 11K,9,0.03233497243331843
6,A500,CORDOBA CAMBIA,931,3196,009E,seccional 9E,11,0.29130162703379225
7,P217,ENCUENTRO VECINAL CÓRDOBA,169,3196,009E,seccional 9E,11,0.052878598247809765
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),5,3196,009E,seccional 9E,11,0.0015644555694618273
9,3,UNIÓN CÍVICA RADICAL,606,3196,009E,seccional 9E,11,0.18961201501877348
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,220,3196,009E,seccional 9E,11,0.0688360450563204
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,16,3196,009E,seccional 9E,11,0.0050062578222778474
12,A601,HACEMOS POR CORDOBA,979,3196,009E,seccional 9E,9,0.30632040050062576
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,6,3196,009E,seccional 9E,9,0.0018773466833541927
14,P191,VECINALISMO INDEPENDIENTE,32,3196,009E,seccional 9E,9,0.010012515644555695
15,P200,PARTIDO UNION CIUDADANA,32,3196,009E,seccional 9E,9,0.010012515644555695
16,A300,MST - NUEVA IZQUIERDA,50,3196,009E,seccional 9E,9,0.015644555694618274
17,P40,MOVIMIENTO LIBRES DEL SUR,144,3196,009E,seccional 9E,9,0.04505632040050062
6,A500,CORDOBA CAMBIA,2303,9478,009F,seccional 9F,11,0.2429837518463811
7,P217,ENCUENTRO VECINAL CÓRDOBA,561,9478,009F,seccional 9F,11,0.05918970246887529
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),32,9478,009F,seccional 9F,11,0.0033762397130196243
9,3,UNIÓN CÍVICA RADICAL,1879,9478,009F,seccional 9F,11,0.19824857564887108
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,517,9478,009F,seccional 9F,11,0.054547372863473303
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,29,9478,009F,seccional 9F,11,0.0030597172399240346
12,A601,HACEMOS POR CORDOBA,3242,9478,009F,seccional 9F,9,0.3420552859253007
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,40,9478,009F,seccional 9F,9,0.00422029964127453
14,P191,VECINALISMO INDEPENDIENTE,115,9478,009F,seccional 9F,9,0.012133361468664275
15,P200,PARTIDO UNION CIUDADANA,69,9478,009F,seccional 9F,9,0.007280016881198565
16,A300,MST - NUEVA IZQUIERDA,188,9478,009F,seccional 9F,9,0.019835408313990294
17,P40,MOVIMIENTO LIBRES DEL SUR,478,9478,009F,seccional 9F,9,0.05043258071323064
6,A500,CORDOBA CAMBIA,394,2329,010D,seccional 10D,11,0.1691713181623014
7,P217,ENCUENTRO VECINAL CÓRDOBA,102,2329,010D,seccional 10D,11,0.043795620437956206
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),4,2329,010D,seccional 10D,11,0.0017174753112924003
9,3,UNIÓN CÍVICA RADICAL,524,2329,010D,seccional 10D,11,0.22498926577930442
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,64,2329,010D,seccional 10D,11,0.027479604980678404
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,6,2329,010D,seccional 10D,11,0.0025762129669386004
12,A601,HACEMOS POR CORDOBA,1062,2329,010D,seccional 10D,9,0.45598969514813226
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,5,2329,010D,seccional 10D,9,0.0021468441391155
14,P191,VECINALISMO INDEPENDIENTE,33,2329,010D,seccional 10D,9,0.014169171318162302
15,P200,PARTIDO UNION CIUDADANA,6,2329,010D,seccional 10D,9,0.0025762129669386004
16,A300,MST - NUEVA IZQUIERDA,32,2329,010D,seccional 10D,9,0.013739802490339202
17,P40,MOVIMIENTO LIBRES DEL SUR,88,2329,010D,seccional 10D,9,0.037784456848432804
6,A500,CORDOBA CAMBIA,1100,5664,0012,seccional 12,11,0.1942090395480226
7,P217,ENCUENTRO VECINAL CÓRDOBA,298,5664,0012,seccional 12,11,0.05261299435028249
8,P231,POLÍTICA ABIERTA PARA LA INTEGRIDAD SOCIAL (P.A.I.S.),20,5664,0012,seccional 12,11,0.0035310734463276836
9,3,UNIÓN CÍVICA RADICAL,1026,5664,0012,seccional 12,11,0.18114406779661016
10,A830,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,168,5664,0012,seccional 12,11,0.029661016949152543
11,P238,MOVIMIENTO AVANZADA SOCIALISTA,19,5664,0012,seccional 12,11,0.0033545197740112993
12,A601,HACEMOS POR CORDOBA,2644,5664,0012,seccional 12,9,0.4668079096045198
13,P57,MOVIMIENTO DE ACCIÓN VECINAL,30,5664,0012,seccional 12,9,0.005296610169491525
