,CIRCUITO,NOMBRE CIRCUITO,PARTIDO,CANTIDAD DE VOTOS,CANTIDAD DE VOTOS POR CIRCUITO,PORCENTAJE DE VOTOS DEL CIRCUITO,CIRCUITO_NUEVO
0,1,SECCIONAL PRIMERA,UNIÓN CÍVICA RADICAL,1053,10328,0.1019558482,0001
1,1,SECCIONAL PRIMERA,HACEMOS POR CORDOBA,4059,10328,0.3930092951,0001
2,1,SECCIONAL PRIMERA,CORDOBA CAMBIA,2999,10328,0.2903756778,0001
3,2,SECCIONAL SEGUNDA,UNIÓN CÍVICA RADICAL,412,3703,0.1112611396,0002
4,2,SECCIONAL SEGUNDA,HACEMOS POR CORDOBA,1482,3703,0.400216041,0002
5,2,SECCIONAL SEGUNDA,CORDOBA CAMBIA,1006,3703,0.2716716176,0002
6,3,SECCIONAL TERCERA,UNIÓN CÍVICA RADICAL,1361,13393,0.1016202494,0003
7,3,SECCIONAL TERCERA,HACEMOS POR CORDOBA,5295,13393,0.3953557829,0003
8,3,SECCIONAL TERCERA,CORDOBA CAMBIA,3604,13393,0.2690957963,0003
9,4,NUEVA CÓRDOBA,UNIÓN CÍVICA RADICAL,1179,13643,0.08641794327,0004
10,4,NUEVA CÓRDOBA,HACEMOS POR CORDOBA,5246,13643,0.3845195338,0004
11,4,NUEVA CÓRDOBA,CORDOBA CAMBIA,4169,13643,0.3055779521,0004
12,4A,PUERTO LAS FLORES,UNIÓN CÍVICA RADICAL,1334,12499,0.1067285383,004A
13,4A,PUERTO LAS FLORES,HACEMOS POR CORDOBA,5693,12499,0.4554764381,004A
14,4A,PUERTO LAS FLORES,CORDOBA CAMBIA,3010,12499,0.2408192655,004A
15,4B,VILLA REVOL,UNIÓN CÍVICA RADICAL,987,10868,0.09081707766,004B
16,4B,VILLA REVOL,HACEMOS POR CORDOBA,4392,10868,0.4041221936,004B
17,4B,VILLA REVOL,CORDOBA CAMBIA,3197,10868,0.29416636,004B
18,4C,INAUDI,UNIÓN CÍVICA RADICAL,312,3546,0.08798646362,004C
19,4C,INAUDI,HACEMOS POR CORDOBA,1738,3546,0.4901297236,004C
20,4C,INAUDI,CORDOBA CAMBIA,746,3546,0.2103778906,004C
21,4D,VILLA EUCARISTICA,UNIÓN CÍVICA RADICAL,128,1952,0.06557377049,004D
22,4D,VILLA EUCARISTICA,HACEMOS POR CORDOBA,668,1952,0.3422131148,004D
23,4D,VILLA EUCARISTICA,CORDOBA CAMBIA,639,1952,0.3273565574,004D
24,4E,NUESTRO HOGAR III,UNIÓN CÍVICA RADICAL,153,1688,0.09063981043,004E
25,4E,NUESTRO HOGAR III,HACEMOS POR CORDOBA,1112,1688,0.6587677725,004E
26,4E,NUESTRO HOGAR III,CORDOBA CAMBIA,204,1688,0.1208530806,004E
27,4F,CIUDAD OBISPO ANGELELLI,UNIÓN CÍVICA RADICAL,129,1817,0.0709961475,004F
28,4F,CIUDAD OBISPO ANGELELLI,HACEMOS POR CORDOBA,1386,1817,0.7627958173,004F
29,4F,CIUDAD OBISPO ANGELELLI,CORDOBA CAMBIA,132,1817,0.07264722069,004F
30,5,ALTAMIRA,UNIÓN CÍVICA RADICAL,954,9391,0.1015866255,0005
31,5,ALTAMIRA,HACEMOS POR CORDOBA,4916,9391,0.5234799276,0005
32,5,ALTAMIRA,CORDOBA CAMBIA,1933,9391,0.2058353743,0005
33,5A,COLONIA LOLA,UNIÓN CÍVICA RADICAL,297,3547,0.08373273189,005A
34,5A,COLONIA LOLA,HACEMOS POR CORDOBA,2483,3547,0.7000281928,005A
35,5A,COLONIA LOLA,CORDOBA CAMBIA,385,3547,0.1085424302,005A
36,5B,DEAN FUNES,UNIÓN CÍVICA RADICAL,157,1369,0.1146822498,005B
37,5B,DEAN FUNES,HACEMOS POR CORDOBA,612,1369,0.4470416362,005B
38,5B,DEAN FUNES,CORDOBA CAMBIA,326,1369,0.2381300219,005B
39,5C,EMPALME,UNIÓN CÍVICA RADICAL,1324,12371,0.1070244928,005C
40,5C,EMPALME,HACEMOS POR CORDOBA,6340,12371,0.5124888853,005C
41,5C,EMPALME,CORDOBA CAMBIA,2572,12371,0.2079055856,005C
42,5D,MALDONADO,UNIÓN CÍVICA RADICAL,688,7207,0.09546274455,005D
43,5D,MALDONADO,HACEMOS POR CORDOBA,4911,7207,0.6814208408,005D
44,5D,MALDONADO,CORDOBA CAMBIA,770,7207,0.1068405717,005D
45,5E,VILLA BUSTOS,UNIÓN CÍVICA RADICAL,254,2707,0.09383080901,005E
46,5E,VILLA BUSTOS,HACEMOS POR CORDOBA,1774,2707,0.6553380126,005E
47,5E,VILLA BUSTOS,CORDOBA CAMBIA,325,2707,0.120059106,005E
48,5F,RENACIMIENTO,UNIÓN CÍVICA RADICAL,215,3023,0.07112140258,005F
